epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,1847.2,0.49775,0.37906,2.12829,0.98652,1,0.995,0.88749,0.48415,0.30029,2.11195,0.0010034,0.0010034,0.0010034
153,1858.73,0.44476,0.35834,2.08593,0.99152,1,0.995,0.90314,0.47031,0.29594,2.14051,0.0009968,0.0009968,0.0009968
154,1870.66,0.5112,0.40963,2.00132,1,0.99917,0.995,0.90666,0.50698,0.34031,2.11136,0.0009902,0.0009902,0.0009902
155,1883.27,0.48701,0.39434,2.08883,1,0.98535,0.995,0.90798,0.51846,0.33433,2.09595,0.0009836,0.0009836,0.0009836
156,1895.35,0.49923,0.41303,2.10093,0.99289,1,0.995,0.91331,0.44063,0.30314,2.09189,0.000977,0.000977,0.000977
157,1907.04,0.45019,0.35952,2.03437,0.99676,1,0.995,0.90245,0.53921,0.28341,2.04061,0.0009704,0.0009704,0.0009704
158,1918.92,0.47573,0.37064,2.13364,0.99667,1,0.995,0.89375,0.47567,0.28776,2.07542,0.0009638,0.0009638,0.0009638
159,1931.26,0.46743,0.39045,2.10098,0.99662,1,0.995,0.89971,0.49253,0.29281,2.08884,0.0009572,0.0009572,0.0009572
160,1942.91,0.49565,0.44099,2.11384,0.99665,1,0.995,0.91094,0.53728,0.31907,2.06532,0.0009506,0.0009506,0.0009506
161,1955.01,0.45519,0.49692,1.96315,0.99675,1,0.995,0.90854,0.4884,0.30274,2.09201,0.000944,0.000944,0.000944
162,1967.06,0.44574,0.38185,2.07884,0.99657,1,0.995,0.90234,0.5081,0.31384,2.11801,0.0009374,0.0009374,0.0009374
163,1978.88,0.49485,0.4213,2.19804,0.99648,1,0.995,0.91156,0.47464,0.29129,2.07595,0.0009308,0.0009308,0.0009308
164,1990.71,0.43065,0.37916,2.05086,0.99665,1,0.995,0.88462,0.50718,0.28883,2.07259,0.0009242,0.0009242,0.0009242
